category,model,event_type,MAE,RMSE,sMAPE,n_points
school,rolling_average,is_exam_season,2.2512605485232067,2.4635448701373455,11.84948837281206,316
school,event_random_forest,is_new_year_fitness,1.4027686576714598,1.963614757716138,7.3302685465021,48
school,event_ridge,is_new_year_fitness,1.8458836347098624,2.233294177779953,9.728809794722109,147
school,seasonal_naive,is_new_year_fitness,1.9121428571428574,2.6636272325559385,10.06743327332984,147
school,rolling_average,is_new_year_fitness,2.099583333333333,2.246949144927915,11.222574058347517,147
school,time_regression,is_new_year_fitness,2.3467686079887473,2.7694738480936967,12.358968956775957,147
school,event_ridge,is_q4_holiday_electronics,1.7313168819750988,2.155158653712619,9.073869822549488,306
school,seasonal_naive,is_q4_holiday_electronics,1.762924836601307,2.5275061173422735,9.316744385455369,306
school,event_random_forest,is_q4_holiday_electronics,1.8598102711918454,2.1636148719300534,10.022168273900208,106
school,rolling_average,is_q4_holiday_electronics,2.1720819716775606,2.2802474412571234,11.428063442423591,306
school,time_regression,is_q4_holiday_electronics,2.1872690252106195,2.539422815907979,11.428774558310982,306
